"value","trial_type","trial_index","time_elapsed","internal_node_id","subject","browser_info","participant_number","rt","responses","view_history","presentation_start_time","id","text","response","keypresses","answer","correct","study","experimenter_rt"
"","html-voicekey-response","158","749066","0.0-4.154-0.154","1jtlba5vup147vw","{""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36"",""on_chrome"":true,""on_mobile"":false,""language"":""en-US"",""screen_resolution"":[1440,900],""platform"":""MacIntel"",""timezone"":""Europe/Berlin""}","14","100","","","1558339350108","3","","Ingolstadt","[]","Ingolstadt","true","false","2443.375000002561"
"","html-voicekey-response","159","754551","0.0-4.155-0.155","1jtlba5vup147vw","{""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36"",""on_chrome"":true,""on_mobile"":false,""language"":""en-US"",""screen_resolution"":[1440,900],""platform"":""MacIntel"",""timezone"":""Europe/Berlin""}","14","4367.304999986873","","","1558339353158","25","","Osnabrück","[]","Osnabrück","true","false","4874.904999989667"
"","html-voicekey-response","160","756424","0.0-4.156-0.156","1jtlba5vup147vw","{""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36"",""on_chrome"":true,""on_mobile"":false,""language"":""en-US"",""screen_resolution"":[1440,900],""platform"":""MacIntel"",""timezone"":""Europe/Berlin""}","14","907.1550000024494","","","1558339358643","7","","Erfurt","[]","Erfurt","true","false","1266.844999991008"
"","html-voicekey-response","161","759457","0.0-4.157-0.157","1jtlba5vup147vw","{""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36"",""on_chrome"":true,""on_mobile"":false,""language"":""en-US"",""screen_resolution"":[1440,900],""platform"":""MacIntel"",""timezone"":""Europe/Berlin""}","14","1917.1399999994087","","","1558339360516","10","","Heidelberg","[]","Heidelberg","true","false","2425.9750000055647"
"","html-voicekey-response","162","763174","0.0-4.158-0.158","1jtlba5vup147vw","{""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36"",""on_chrome"":true,""on_mobile"":false,""language"":""en-US"",""screen_resolution"":[1440,900],""platform"":""MacIntel"",""timezone"":""Europe/Berlin""}","14","2584.815000003646","","","1558339363549","26","","Freiburg","[]","Freiburg","true","false","3110.180000003311"
"","html-voicekey-response","163","779806","0.0-4.159-0.159","1jtlba5vup147vw","{""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36"",""on_chrome"":true,""on_mobile"":false,""language"":""en-US"",""screen_resolution"":[1440,900],""platform"":""MacIntel"",""timezone"":""Europe/Berlin""}","14","10983.640000000223","","","1558339367266","25","","","[]","Osnabrück","false","false","12624.669999990147"
"","html-voicekey-response","164","782772","0.0-4.160-0.160","1jtlba5vup147vw","{""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36"",""on_chrome"":true,""on_mobile"":false,""language"":""en-US"",""screen_resolution"":[1440,900],""platform"":""MacIntel"",""timezone"":""Europe/Berlin""}","14","100","","","1558339383897","27","","Tübingen","[]","Tübingen","true","false","2359.8149999888847"
"","html-voicekey-response","165","784955","0.0-4.161-0.161","1jtlba5vup147vw","{""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36"",""on_chrome"":true,""on_mobile"":false,""language"":""en-US"",""screen_resolution"":[1440,900],""platform"":""MacIntel"",""timezone"":""Europe/Berlin""}","14","1133.700000000163","","","1558339386864","25","","Osnabrück","[]","Osnabrück","true","false","1576.7250000062631"
"","html-voicekey-response","166","787831","0.0-4.162-0.162","1jtlba5vup147vw","{""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36"",""on_chrome"":true,""on_mobile"":false,""language"":""en-US"",""screen_resolution"":[1440,900],""platform"":""MacIntel"",""timezone"":""Europe/Berlin""}","14","1875.4049999932527","","","1558339389048","18","","Forchheim","[]","Forchheim","true","false","2267.3950000025798"
"","html-voicekey-response","167","790030","0.0-4.163-0.163","1jtlba5vup147vw","{""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36"",""on_chrome"":true,""on_mobile"":false,""language"":""en-US"",""screen_resolution"":[1440,900],""platform"":""MacIntel"",""timezone"":""Europe/Berlin""}","14","1150.3150000006194","","","1558339391923","25","","Osnabrück","[]","Osnabrück","true","false","1592.4200000008568"
"","html-voicekey-response","168","800464","0.0-4.164-0.164","1jtlba5vup147vw","{""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36"",""on_chrome"":true,""on_mobile"":false,""language"":""en-US"",""screen_resolution"":[1440,900],""platform"":""MacIntel"",""timezone"":""Europe/Berlin""}","14","5383.100000000768","","","1558339394123","21","","","[]","Konstanz","false","false","6425.430000002962"
"","html-voicekey-response","169","806039","0.0-4.165-0.165","1jtlba5vup147vw","{""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36"",""on_chrome"":true,""on_mobile"":false,""language"":""en-US"",""screen_resolution"":[1440,900],""platform"":""MacIntel"",""timezone"":""Europe/Berlin""}","14","2692.7050000029617","","","1558339404556","28","","Regensburg","[]","Regensburg","true","false","4968.064999993658"
"","html-voicekey-response","170","808062","0.0-4.166-0.166","1jtlba5vup147vw","{""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36"",""on_chrome"":true,""on_mobile"":false,""language"":""en-US"",""screen_resolution"":[1440,900],""platform"":""MacIntel"",""timezone"":""Europe/Berlin""}","14","933.5950000039069","","","1558339410131","21","","Konstanz","[]","Konstanz","true","false","1415.8099999913247"
"","html-voicekey-response","171","809945","0.0-4.167-0.167","1jtlba5vup147vw","{""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36"",""on_chrome"":true,""on_mobile"":false,""language"":""en-US"",""screen_resolution"":[1440,900],""platform"":""MacIntel"",""timezone"":""Europe/Berlin""}","14","833.3999999975553","","","1558339412155","29","","Jena","[]","Jena","true","false","1274.1600000008475"
"","html-voicekey-response","172","812212","0.0-4.168-0.168","1jtlba5vup147vw","{""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36"",""on_chrome"":true,""on_mobile"":false,""language"":""en-US"",""screen_resolution"":[1440,900],""platform"":""MacIntel"",""timezone"":""Europe/Berlin""}","14","1166.8399999997114","","","1558339414037","30","","Bremen","[]","Bremen","true","false","1659.7099999926286"
"","html-voicekey-response","173","814761","0.0-4.169-0.169","1jtlba5vup147vw","{""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36"",""on_chrome"":true,""on_mobile"":false,""language"":""en-US"",""screen_resolution"":[1440,900],""platform"":""MacIntel"",""timezone"":""Europe/Berlin""}","14","1467.3049999926939","","","1558339416305","26","","Freiburg","[]","Freiburg","true","false","1941.6249999922002"
